ID | Nombre del Area (Total: 52)
---|--------------------------------
1  | SECRETARÍA
2  | SUBSECRETARÍA DE INFRAESTRUCTURA CARRETERA
4  | SUBSECRETARÍA DE PLANEACION Y EDIFICACION
5  | DIRECCIÓN DE PROYECTOS CARRETEROS
6  | DIRECCIÓN DE CAMINOS
7  | DIRECCIÓN DE CAMINOS REGIÓN LAGUNA
8  | DEPARTAMENTO DE PROYECTOS CARRETEROS
10 | DIRECCIÓN DE EDIFICACIÓN REGIÓN LAGUNA
11 | DIRECCIÓN DE PROYECTOS EN EDIFICACIÓN
12 | DIRECCIÓN DE EDIFICACIÓN
13 | DIRECCIÓN DE DESARROLLO URBANO Y ORDENAMIENTO TERRITORIAL
14 | DEPARTAMENTO DE CONTROL DE CALIDAD DE CAMINOS REGIÓN LAGUNA
16 | ÁREA TÉCNICA EN EDIFICACIÓN REGIÓN LAGUNA
17 | DEPARTAMENTO DE CONTROL DE CALIDAD DE CAMINOS
18 | DEPARTAMENTO DE CONSERVACIÓN DE CAMINOS
19 | DEPARTAMENTO DE PROYECTOS ARQUITECTONICOS
21 | DEPARTAMENTO DE COSTOS Y PRESUPUESTOS DE CAMINOS
22 | DEPARTAMENTO DE SUPERVISIÓN DE INFRAESTRUCTURA
24 | DEPARTAMENTO DE COSTOS Y PRESUPUESTOS EN EDIFICACIÓN
25 | DEPARTAMENTO DE CAMINOS RURALES
26 | DEPARTAMENTO DE ADMINISTRACIÓN Y GESTIÓN DE OBRA
27 | DIRECCIÓN DE ADMINISTRACIÓN
28 | DEPARTAMENTO DE EVALUACIÓN Y CONTROL
29 | AREA DE INFORMACIÓN Y ESTADISTICA
30 | ÁREA DE RESIDENTES DE OBRAS ELÉCTRICAS
31 | ÁREA DE MANTENIMIENTO DE PLAZAS Y PARQUES
32 | DEPARTAMENTO DE CONTABILIDAD Y RECURSOS FINANCIEROS
33 | DEPARTAMENTO DE PARQUE VEHICULAR
34 | DEPARTAMENTO DE RECURSOS HUMANOS
35 | DEPARTAMENTO DE RECURSOS MANTERIALES Y SERVICIOS GENERALES
36 | AREA DE SOPORTE Y SISTEMAS DE OBRA PÚBLICA
37 | DIRECCIÓN JURÍDICA
38 | SECRETARIA PARTICULAR
39 | SECRETARIA TÉCNICA
40 | ÓRGANO INTERNO DE CONTROL
41 | DEPARTAMENTO DE CONCURSOS Y CONTRATOS
42 | COORDINACIÓN INTERINSTITUCIONAL
43 | UNIDAD DE COMUNICACIÓN SOCIAL
44 | ÁREA DE EVENTOS ESPECIALES
359| COORDINACIÓN DE PIPS
360| DEPARTAMENTO DE CONSTRUCCIÓN DE CAMINOS
362| ÁREA DE ARCHIVO
363| ÁREA DE RESIDENTES EN EDIFICACIÓN
364| DIRECCIÓN DE FISCALIZACIÓN Y TRANSPARENCIA
365| DIRECCIÓN DE FORTALECIMIENTO MUNICIPAL DE MAQUINARIA Y PARQUE VEHICULAR
366| DEPARTAMENTO DE SUPERVISIÓN DE MANTENIMIENTO DE MAQUINARIA PESADA
367| ÁREA DE TALLER MECÁNICO
368| DIRECCIÓN DE PLANEACIÓN Y EVALUACIÓN DE OBRAS
369| DEPARTAMENTO DE PROGRAMAS FEDERALES
370| DEPARTAMENTO DE EVALUACIÓN Y SEGUIMIENTO DE PROGRAMAS
371| ÁREA TÉCNICA DE CONSTRUCCIÓN DE CAMINOS
372| AREA DE RESIDENTES DE INFRAESTRUCTURA
