cve_municipio,municipio,localidad,cve_localidad
14,MEZQUITAL,MEZQUITAL,000
14,MEZQUITAL,SAN FRANCISCO DEL MEZQUITAL,001
14,MEZQUITAL,AGUITA ZARCA,004
14,MEZQUITAL,LA JOYA DE ATOTONILCO (ATOTONILCO),005
14,MEZQUITAL,CANDELARIA DEL ALTO,007
14,MEZQUITAL,YONORA,008
14,MEZQUITAL,LOS CHARCOS,011
14,MEZQUITAL,SAN MIGUEL DE LAS ESPINAS,012
14,MEZQUITAL,LA GUACAMAYITA,014
14,MEZQUITAL,LA GUAJOLOTA,015
14,MEZQUITAL,HUAZAMOTA,016
14,MEZQUITAL,LAGUNA DEL CHIVO,018
14,MEZQUITAL,LLANO GRANDE,019
14,MEZQUITAL,PAURA,021
14,MEZQUITAL,SAN JOSE DEL RANCHITO (EL RANCHITO),023
14,MEZQUITAL,EL REFUGIO,024
14,MEZQUITAL,LAS ROSAS (MAZATA),025
14,MEZQUITAL,SAN ANTONIO DE PADUA,028
14,MEZQUITAL,SAN BUENAVENTURA,029
14,MEZQUITAL,SAN LUCAS DE JALPA,031
14,MEZQUITAL,SAN MIGUEL DE TEMOHAYA,032
14,MEZQUITAL,SAN PEDRO DE XICORA,033
14,MEZQUITAL,SANTA GERTRUDIS,034
14,MEZQUITAL,SANTA MARIA DE OCOTAN,035
14,MEZQUITAL,SANTIAGUILLO,036
14,MEZQUITAL,SANTIAGO TENERACA,039
14,MEZQUITAL,EL TRONCON,042
14,MEZQUITAL,XOCONOXTLE,043
14,MEZQUITAL,SAN FRANCISCO DE OCOTAN,044
14,MEZQUITAL,CANOITAS (CANOAS DOS),045
14,MEZQUITAL,PLATANITOS,046
14,MEZQUITAL,LAGUNA DEL BURRO,048
14,MEZQUITAL,TONALAMPA,050
14,MEZQUITAL,CERRITO GORDO,051
14,MEZQUITAL,CHIMALTITA,052
14,MEZQUITAL,CUESTA BLANCA (AGUITA ESCONDIDA),067
14,MEZQUITAL,CEBOLLITAS,073
14,MEZQUITAL,EL DURAZNO (DURAZNITOS),080
14,MEZQUITAL,MESA DE LAS JOYAS,086
14,MEZQUITAL,LAS MESAS DE XOCONOXTLE,090
14,MEZQUITAL,CANDELARITA,094
14,MEZQUITAL,AGUA FRIA,100
14,MEZQUITAL,LA TINAJA,103
